T	X
5.892832608	0.001789091
7.365010305	0.001478182
8.099381727	0.001309091
9.215708725	0.001172727
10.3347836	0.001058182
12.21433478	0.000981818
14.84130982	0.00084
16.33753149	0.00072
18.22189146	0.000681818
20.48339821	0.000638182
22.74833982	0.000621818
24.63888253	0.000632727
26.53217312	0.000665455
28.80261049	0.000692727
30.69864896	0.000747273
32.59468743	0.000801818
34.49278681	0.000872727
36.77078086	0.00096
38.67025418	0.001041818
40.57041447	0.001129091
42.47057477	0.001216364
44.74856881	0.001303636
46.6487291	0.001390909
48.92672315	0.001478182
51.20403023	0.00156
53.10487749	0.001652727
55.00160293	0.001712727
56.52186856	0.001783636
58.79711472	0.001849091
60.69384016	0.001909091
62.59125258	0.001974546
64.8651248	0.002029091
66.75978933	0.002072727
68.65445386	0.002116364
70.9255782	0.002149091
72.81955576	0.002187273
74.71215938	0.002214546
76.98259675	0.002241818
78.49667964	0.002263636
81.52278452	0.002290909
82.65697275	0.002296364
84.5488894	0.002318182
87.19441264	0.002323636
88.70712159	0.002334546
90.97618502	0.002350909
92.86466682	0.002345455
95.51019006	0.002350909
98.15502633	0.002350909
100.0441951	0.002350909
103.4433249	0.00234
107.2209755	0.002334546
109.4866041	0.002323636
113.2635677	0.002312727
115.906343	0.002296364
118.9283261	0.002290909
121.5717884	0.00228
124.9695443	0.002258182
127.9901534	0.002241818
131.0114495	0.002230909
134.0306847	0.002203636
136.67346	0.002187273
139.6940692	0.002170909
142.7139913	0.002149091
146.1117472	0.002127273
149.1323563	0.002110909
152.1536524	0.0021
155.1728876	0.002072727
157.814976	0.002050909
160.8348981	0.002029091
163.4769865	0.002007273
166.8754294	0.001990909
169.8960385	0.001974546
172.9159606	0.001952727
175.9365697	0.001936364
178.5786581	0.001914546
181.975727	0.001887273
184.6198763	0.001881818
188.0169453	0.001854546
190.6590337	0.001832727
193.6803297	0.001821818
196.7009389	0.001805455
199.721548	0.001789091
202.7407831	0.001761818
205.7620792	0.001750909
208.7820014	0.001729091
211.4254637	0.001718182
214.8232196	0.001696364
217.8438287	0.00168
220.8651248	0.001669091
223.8857339	0.001652727
226.906343	0.001636364
229.9276391	0.001625455
232.9475613	0.001603636
235.9688573	0.001592727
238.6116327	0.001576364
242.0100756	0.00156
244.6535379	0.001549091
248.0526677	0.001538182
251.0732768	0.001521818
254.0945729	0.001510909
256.7373483	0.001494546
259.7586444	0.001483636
263.1577742	0.001472727
266.1783833	0.001456364
268.8218457	0.001445455
271.8431417	0.001434546
275.2422716	0.001423636
278.2635677	0.001412727
280.90703	0.001401818
283.9276391	0.001385455
286.9489352	0.001374546
289.9709183	0.001369091
292.9922143	0.001358182
295.6356767	0.001347273
299.4126403	0.001336364
